Descripció,Norm,Art,Ap,Sub,Nº,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
COMPORTAR-SE L'USUARI DE LA VIA DE MANERA QUE ES DESTORBA INDEGUDAMENT LA CIRCULACIÓ ,RGC,2,,,1,6,100,90,L,N,0,,5544
COMPORTAR-SE L'USUARI DE LA VIA DE MANERA QUE ES CAUSA PERILL A LES PERSONES ,RGC,2,,,2,6,100,90,L,N,0,,5592
COMPORTAR-SE L'USUARI DE LA VIA DE MANERA QUE ES CAUSEN MOLÈSTIES INNECESSÀRIES A LES PERSONES ,RGC,2,,,3,6,100,90,L,N,0,,5593
COMPORTAR-SE L'USUARI DE LA VIA DE MANERA QUE ES CAUSEN PERJUDICIS A LES PERSONES ,RGC,2,,,4,6,100,90,L,N,0,,5594
COMPORTAR-SE L'USUARI DE LA VIA DE MANERA QUE ES CAUSEN DANYS ALS BÉNS ,RGC,2,,,5,6,100,90,L,N,0,,5595
CONDUIR UNA BICICLETA DE FORMA NEGLIGENT CREANT PERILL CERT I RELLEVANT PER A LA RESTA D'USUARIS DE LA VIA ,RGC,3,1,,13,200,200,200,L,N,0,,12601
CONDUIR DE FORMA NEGLIGENT  ,RGC,3,1,,14,200,200,200,L,N,0,,13039
CONDUIR DE FORMA NEGLIGENT CREANT PERILL CERT I RELLEVANT PER A LA RESTA D'USUARIS DE LA VIA ,RGC,3,1,,15,200,200,200,L,N,0,,13042
CONDUIR DE FORMA NEGLIGENT CAUSANT ACCIDENT  ,RGC,3,1,,16,200,200,200,L,N,0,,13043
CONDUIR DE FORMA NEGLIGENT CREANT UN RISC CERT I RELLEVANT PER A LA RESTA D'USUARIS DE LA VIA ,RGC,3,1,,17,200,200,200,L,N,0,,13044
"CONDUIR SENSE LA DILIGÈNCIA, PRECAUCIÓ I NO DISTRACCIÓ NECESSARIS PER EVITAR TOT DANY PROPI O ALIÈ ",RGC,3,1,,18,200,200,200,L,N,0,,13604
CONDUIR DE FORMA TEMERÀRIA  ,RGC,3,1,,19,500,500,500,L,N,6,,14753
CONDUIR UN VMP DE FORMA NEGLIGENT  ,RGC,3,1,,21,200,200,200,L,N,0,,19623
CONDUIR UN VMP DE FORMA TEMERÀRIA  ,RGC,3,1,,22,500,500,500,L,N,0,,19629
CONDUIR UNA BICICLETA DE FORMA TEMERÀRIA  ,RGC,3,1,,23,500,500,500,L,N,0,,20561
EFECTUAR SENSE PERMÍS TREBALLS O ACTIVITATS QUE PUGUIN DIFICULTAR O OBSTACULITZAR LA CIRCULACIÓ ,RGC,4,1,,1,200,200,200,L,N,0,,18309
"LLENÇAR, DIPOSITAR O ABANDONAR SOBRE LA VIA OBJECTES O MATÈRIES QUE PUGUIN DESTORBAR LA LLIURE CIRCULACIÓ ",RGC,4,2,,1,6,100,90,L,N,0,,5596
"LLENÇAR, DIPOSITAR O ABANDONAR SOBRE LA VIA OBJECTES O MATÈRIES QUE PUGUIN DESTORBAR LA PARADA O L'ESTACIONAMENT ",RGC,4,2,,2,6,100,90,L,N,0,,5597
"LLENÇAR, DIPOSITAR O ABANDONAR SOBRE LA VIA OBJECTES O MATÈRIES QUE PUGUIN PRODUIR EFECTES QUE MODIFIQUIN LES CONDICIONS ADIENTS PER CIRCULAR",RGC,4,2,,7,6,100,90,L,N,0,,5602
"LLENÇAR, DIPOSITAR O ABANDONAR SOBRE LA VIA OBJECTES O MATÈRIES QUE PUGUIN PRODUIR EFECTES QUE MODIFIQUIN LES CONDICIONS ADIENTS PER PARAR O ESTACIONAR",RGC,4,2,,8,6,100,90,L,N,0,,5603
"LLENÇAR, DIPOSITAR O ABANDONAR SOBRE LA VIA OBJECTES O MATÈRIES QUE PUGUIN PRODUIR EN LES SEVES IMMEDIACIONS EFECTES QUE MODIFIQUIN LES CONDICIONS ADIENTS PER CIRCULAR",RGC,4,2,,9,6,100,90,L,N,0,,5604
"LLENÇAR, DIPOSITAR O ABANDONAR SOBRE LA VIA OBJECTES O MATER IES QUE PUGUIN DESTORBAR LA PARADA O L'ESTACIONAMENT (DEIXAR VEHICLE A LA VIA PÚBLICA AMB SÍMPTOMES D'ABANDONAMENT)",RGC,4,2,,10,6,100,90,L,N,0,3,8991
"LLENÇAR, DIPOSITAR O ABANDONAR, UN VIANANT, SOBRE LA VIA, OBJECTES O MATÈRIES QUE PUGUIN FER PERILLOSA LA CIRCULACIÓ ",RGC,4,2,,16,200,200,200,L,N,0,,18393
"LLENÇAR, DIPOSITAR O ABANDONAR, UN PASSATGER, SOBRE LA VIA, OBJECTES O MATÈRIES QUE PUGUIN FER PERILLOSA LA CIRCULACIÓ ",RGC,4,2,,17,200,200,200,L,N,0,,21431
